2017-10-05,00:35,0.0
2017-10-05,00:35,0.0
2017-10-05,00:35,0.0
2017-10-05,00:35,0.0
2017-10-05,00:35,0.0
2017-10-05,00:35,0,on/off,on/off,0,20.1,63.4,on,43,19,42,18,2.195,,2.215,2.23
2017-10-05,00:35,0.0
2017-10-05,00:35,4.35
2017-10-05,00:35,0.0
2017-10-05,00:35,0.00,on/off,on/off,0,20.1,63.3,on,0,43,19,42,9.0,2.155,2.145,
2017-10-05,00:35,0.0
2017-10-05,00:35,4.26
2017-10-05,00:35,4.25
2017-10-05,00:35,0,on/off,on/off,0.00,20.1,4.32,off,0,0,43,19,21.0,9.0,2.135,2.15
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,20.1
2017-10-05,00:36,4.31,on/off,on/off,6,20.1,63.3,on,0,0.00,43,19,21.0,9.0,2.16,2.425
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,4.7
2017-10-05,00:36,0,on/off,on/off,0,20.1,4.92,off,0,43,0.00,19,21.0,9.0,2.25,2.235
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,0,on/off,on/off,0.00,20.1,63.3,on,0,0,43,19,21.0,9.0,2.135,2.3
2017-10-05,00:36,4.34
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,0.0
2017-10-05,00:36,0.0
2017-10-05,00:36,20.1
2017-10-05,00:36,0.0
2017-10-05,00:36,20.0
2017-10-05,00:36,0.0
2017-10-05,00:36,0.0
2017-10-05,00:36,0.0
2017-10-05,00:36,0.0
2017-10-05,00:36,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
2017-10-05,00:37,0.0
