2017-10-10,00:00,100,on/off,on/off,0,20.3,69.5,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.5,on,43,20,39,18,,,,
2017-10-10,00:00,106,on/off,on/off,0,20.3,69.5,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.5,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.4,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.4,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.4,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.4,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,104,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,98,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,108,on/off,on/off,0,20.3,69.3,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.0,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.3,69.0,on,43,20,39,19,,,,
2017-10-10,00:00,101,on/off,on/off,0,20.3,69.0,on,43,20,39,18,,,,
2017-10-10,00:00,104,on/off,on/off,0,20.3,69.0,on,43,20,39,18,,,,
2017-10-10,00:00,101,on/off,on/off,0,20.4,69.1,on,43,20,39,18,,,,
2017-10-10,00:00,103,on/off,on/off,0,20.4,69.1,on,43,20,39,18,,,,
2017-10-10,00:00,102,on/off,on/off,0,20.4,69.1,on,43,20,39,18,,,,
2017-10-10,00:00,104,on/off,on/off,0,20.4,69.1,on,43,20,39,18,,,,
2017-10-10,00:01,110,on/off,on/off,0,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,100,on/off,on/off,0,20.3,68.9,on,43,20,39,19,,,,
2017-10-10,00:01,102,on/off,on/off,0,20.3,68.9,on,43,20,40,18,,,,
2017-10-10,00:01,103,on/off,on/off,0,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,102,on/off,on/off,0,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,102,on/off,on/off,2,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,106,on/off,on/off,0,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,103,on/off,on/off,0,20.3,68.9,on,43,20,39,18,,,,
2017-10-10,00:01,102,on/off,on/off,0,20.4,69.0,on,43,20,39,18,,,,
2017-10-10,00:01,106,on/off,on/off,1,20.4,69.0,on,43,20,39,18,,,,
2017-10-10,00:01,103,on/off,on/off,0,20.4,69.0,on,43,20,39,18,,,,
2017-10-10,00:01,102,on/off,on/off,0,20.4,69.0,on,43,20,39,18,,,,
