2017-10-01,10:33,0,491,349,22.9,96.4,43,18,32,19
2017-10-01,10:33,0,489,343,23.0,90.9,43,18,32,19
2017-10-01,10:34,0,486,344,23.0,91.9,43,18,32,18
2017-10-01,10:34,0,481,338,23.0,92.8,43,18,32,19
2017-10-01,10:34,0,479,338,23.0,93.2,43,18,32,18
2017-10-01,10:34,0,473,335,23.1,94.2,43,18,32,19
2017-10-01,10:34,0,471,339,23.1,94.1,43,18,32,19
2017-10-01,10:34,0,468,335,23.1,93.9,43,18,33,19
2017-10-01,10:34,0,467,343,23.1,93.4,43,18,33,18
2017-10-01,10:35,0,467,344,23.1,93.8,43,18,33,19
2017-10-01,10:35,0,464,342,23.1,94.2,43,18,33,18
2017-10-01,10:35,0,464,347,23.1,94.5,43,18,33,18
2017-10-01,10:35,0,464,339,23.1,94.8,42,18,33,18
2017-10-01,10:35,0,466,343,23.1,95.0,43,18,33,18
2017-10-01,10:35,0,462,342,23.0,94.6,42,18,33,18
2017-10-01,10:35,0,463,338,23.1,94.8,42,18,33,18
2017-10-01,10:35,0,458,343,23.0,94.9,42,18,33,18
2017-10-01,10:36,0,453,336,23.1,95.3,42,18,34,19
2017-10-01,10:36,0,457,346,23.0,95.2,42,18,33,18
2017-10-01,10:36,0,457,342,23.0,95.1,42,18,34,19
2017-10-01,10:36,0,458,344,23.0,94.8,42,18,34,18
2017-10-01,10:36,0,454,338,23.0,94.0,42,18,34,19
2017-10-01,10:36,0,454,349,23.0,94.0,42,18,34,19
2017-10-01,10:36,0,459,346,23.0,94.2,43,18,34,18
2017-10-01,10:36,0,461,348,23.0,94.9,42,18,34,19
2017-10-01,10:37,0,462,347,23.0,95.0,42,18,34,18
2017-10-01,10:37,0,460,339,23.0,95.0,42,18,34,18
2017-10-01,10:37,0,470,341,23.0,95.0,42,18,34,19
2017-10-01,10:37,0,463,348,23.0,95.0,42,18,35,19
2017-10-01,10:37,0,465,339,23.0,95.0,42,18,34,19
2017-10-01,10:37,0,462,341,23.0,95.4,42,18,34,18
2017-10-01,10:37,0,465,340,22.9,95.1,42,18,35,19
2017-10-01,10:37,0,466,343,22.9,95.2,42,19,35,18
2017-10-01,10:38,0,464,339,22.9,95.7,42,18,35,18
2017-10-01,10:38,0,466,348,22.9,95.9,42,18,35,19
2017-10-01,10:38,0,468,348,23.0,95.9,42,18,35,18
2017-10-01,10:38,0,462,339,22.9,95.9,42,18,35,18
2017-10-01,10:38,0,463,349,22.9,95.8,42,18,35,19
2017-10-01,10:38,0,465,345,22.9,95.9,42,18,35,18
2017-10-01,10:38,0,458,341,22.9,95.9,42,18,35,19
2017-10-01,10:39,0,463,347,22.9,95.9,42,18,35,18
